date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:49	107883/107883	---M-Z	200	added ('OK')	text/html	etag:%22206329e-1a56b-59428bb7740b6-gzip%22	http://themenate.com/enlink-bs/dist/index.html	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/index.html	(from )
09:27:50	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202019%2008:27:50%20GMT	http://themenate.com/robots.txt		(from )
09:27:50	4002/4002	---M--	200	added ('OK')	image/png	etag:%22206338a-fa2-59428bc5f2815%22	http://themenate.com/enlink-bs/dist/assets/images/logo/favicon.png	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/images/logo/favicon.png	(from http://themenate.com/enlink-bs/dist/index.html)
09:27:55	4639/4639	---M--	200	added ('OK')	image/png	etag:%22206338d-121f-59428bc693a37%22	http://themenate.com/enlink-bs/dist/assets/images/logo/logo.png	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/images/logo/logo.png	(from http://themenate.com/enlink-bs/dist/index.html)
09:27:58	4154/4154	---M--	200	added ('OK')	image/png	etag:%22206338c-103a-59428bc63fe5e%22	http://themenate.com/enlink-bs/dist/assets/images/logo/logo-fold.png	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/images/logo/logo-fold.png	(from http://themenate.com/enlink-bs/dist/index.html)
09:27:59	399652/399652	---M--	200	added ('OK')	text/css	etag:%2220632ae-61924-59428bbb8c24b%22	http://themenate.com/enlink-bs/dist/assets/css/app.min.css	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/css/app.min.css	(from http://themenate.com/enlink-bs/dist/index.html)
09:27:59	3978/3978	---M--	200	added ('OK')	image/png	etag:%22206338b-f8a-59428bc643cde%22	http://themenate.com/enlink-bs/dist/assets/images/logo/logo-white.png	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/images/logo/logo-white.png	(from http://themenate.com/enlink-bs/dist/index.html)
09:27:59	3586/3586	---M--	200	added ('OK')	image/png	etag:%222063386-e02-59428bc5f10a5%22	http://themenate.com/enlink-bs/dist/assets/images/logo/logo-fold-white.png	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/images/logo/logo-fold-white.png	(from http://themenate.com/enlink-bs/dist/index.html)
09:28:00	58373/58373	---M-Z	200	added ('OK')	text/html	etag:%22206329f-e405-59428bb7b440f-gzip%22	http://themenate.com/enlink-bs/dist/index-crm.html	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/index-crm.html	(from http://themenate.com/enlink-bs/dist/index.html)
09:28:01	77327/77327	---M-Z	200	added ('OK')	text/html	etag:%2220632a0-12e0f-59428bb7ee9a7-gzip%22	http://themenate.com/enlink-bs/dist/index-e-commerce.html	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/index-e-commerce.html	(from http://themenate.com/enlink-bs/dist/index.html)
09:28:01	35230/35230	---M--	200	added ('OK')	image/jpeg	etag:%222063378-899e-59428bc3f1cee%22	http://themenate.com/enlink-bs/dist/assets/images/avatars/thumb-3.jpg	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/assets/images/avatars/thumb-3.jpg	(from http://themenate.com/enlink-bs/dist/index.html)
09:28:01	100280/100280	---M-Z	200	added ('OK')	text/html	etag:%2220632a1-187b8-59428bb8346d8-gzip%22	http://themenate.com/enlink-bs/dist/index-projects.html	C:/Users/Deacon001/Desktop/projects/ppsAdmin/themenate.com/enlink-bs/dist/index-projects.html	(from http://themenate.com/enlink-bs/dist/index.html)
